sentence_id	yes_no	aspect_sentiment	sentence	ner_tags	ner_mask
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	0	Y positive	in macchina	O O	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	0	Y negative	in macchina	O O	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	0	Y neutral	in macchina	O O	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	0	N positive	in macchina	O O	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	0	N negative	in macchina	O O	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:0	1	N neutral	in macchina	O B	0 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	0	Y positive	vedo mio figlio arrabbiato e non vuole parlarne	O O O O O O O O	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	1	Y negative	vedo mio figlio arrabbiato e non vuole parlarne	B B I O O O O O	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	0	Y neutral	vedo mio figlio arrabbiato e non vuole parlarne	O O O O O O O O	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	0	N positive	vedo mio figlio arrabbiato e non vuole parlarne	O O O O O O O O	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	1	N negative	vedo mio figlio arrabbiato e non vuole parlarne	O O O O O B I I	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#initial_note:1	0	N neutral	vedo mio figlio arrabbiato e non vuole parlarne	O O O O O O O O	1 1 1 0 0 1 1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	0	Y positive	la sera	O O	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	0	Y negative	la sera	O O	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	0	Y neutral	la sera	O O	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	0	N positive	la sera	O O	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	0	N negative	la sera	O O	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:0	1	N neutral	la sera	B I	1 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	0	Y positive	tornando a casa	O O O	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	0	Y negative	tornando a casa	O O O	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	0	Y neutral	tornando a casa	O O O	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	0	N positive	tornando a casa	O O O	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	0	N negative	tornando a casa	O O O	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_a:1	1	N neutral	tornando a casa	B O B	1 0 1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	0	Y positive	forse qualche mio comportamento aveva dato fastidio	O O O O O O O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	1	Y negative	forse qualche mio comportamento aveva dato fastidio	O B I I B I O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	0	Y neutral	forse qualche mio comportamento aveva dato fastidio	O O O O O O O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	0	N positive	forse qualche mio comportamento aveva dato fastidio	O O O O O O O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	0	N negative	forse qualche mio comportamento aveva dato fastidio	O O O O O O O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_b:0	0	N neutral	forse qualche mio comportamento aveva dato fastidio	O O O O O O O	0 1 1 1 1 1 0
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	0	Y positive	testa	O	1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	0	Y negative	testa	O	1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	0	Y neutral	testa	O	1
